12 Steps Ahead - Angels We Have Heard on High,1/1/0001 12:00:00 AM,misc,17/11/2011 4:32:25 AM,,D:\downloads\jazz to the world - various artists\12 Steps Ahead - Angels We Have Heard on High.flac
do 01 Herb Alpert & Jeff Lorber - Winter Wonderland,1/1/0001 12:00:00 AM,misc,17/11/2011 4:33:36 AM,,D:\downloads\jazz to the world - various artists\01 Herb Alpert & Jeff Lorber - Winter Wonderland.flac
do Lecture8,1/1/0001 12:00:00 AM,misc,17/11/2011 4:33:59 AM,,D:\downloads\Lecture8.pdf
do Native Faith,1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\Native Faith.pdf
do oral_directionsforstudents_LAJ1201AY0910ST,1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\oral_directionsforstudents_LAJ1201AY0910ST.pdf
do owl+city+Strawberry-Avalanche-by-Owl-City,1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\owl+city+Strawberry-Avalanche-by-Owl-City.pdf
do predicate,1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\predicate.pdf
do proofs,1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\proofs.pdf
do ps2,1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\ps2.pdf
do ps3,1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\ps3.pdf
do ps3(2),1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\ps3(2).pdf
do ps3(3),1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\ps3(3).pdf
do ps5(2),1/1/0001 12:00:00 AM,misc,17/11/2011 4:35:39 AM,,D:\downloads\ps5(2).pdf
